Photodiode Viewing Angle (Degrees) - Plot 0	Lock-in Signal Amplitude (V) - Plot 0
-3.99934	3.52E-05
-3.49962	3.79E-05
-2.99977	3.97E-05
-2.49935	4.00E-05
-1.99937	4.15E-05
-1.49937	3.69E-05
-0.999374	3.85E-05
-0.499374	3.99E-05
0.000617981	3.86E-05
0.500618	3.92E-05
1.00062	3.94E-05
1.50061	3.92E-05
2.0006	3.95E-05
2.5006	3.91E-05
3.0006	4.11E-05
3.5006	3.90E-05
4.00059	3.79E-05
4.50059	4.04E-05
5.00058	3.96E-05
5.50058	3.98E-05
6.00057	4.03E-05
6.50057	4.06E-05
7.00056	3.72E-05
7.50056	4.27E-05
8.00056	4.13E-05
8.50056	4.11E-05
9.00055	3.85E-05
9.50054	4.23E-05
10.0005	4.12E-05
10.5005	4.20E-05
11.0005	4.56E-05
11.5005	4.18E-05
12.0005	4.21E-05
12.5005	4.25E-05
13.0005	4.67E-05
13.5005	4.21E-05
14.0005	4.25E-05
14.5005	4.54E-05
15.0005	4.29E-05
15.5005	4.61E-05
16.0005	4.52E-05
16.5005	4.48E-05
17.0005	4.30E-05
17.5005	4.45E-05
18.0005	4.35E-05
18.5005	4.38E-05
19.0005	4.47E-05
19.4984	4.59E-05
20.0005	4.39E-05
20.5005	4.21E-05
21.0005	4.42E-05
21.5005	4.27E-05
22.0005	4.35E-05
22.5004	4.48E-05
23.0004	3.94E-05
23.4995	4.15E-05
24.0004	3.96E-05
24.5004	4.08E-05
25.0004	4.25E-05
25.5004	3.82E-05
26.0004	4.19E-05
26.5004	4.24E-05
27.0004	3.86E-05
27.5004	4.08E-05
28.0004	4.23E-05
28.5004	4.03E-05
29.0004	4.08E-05
29.5004	3.89E-05
30.0004	4.16E-05
30.5004	3.92E-05
31.0004	3.59E-05
31.5004	4.04E-05
32.0004	3.66E-05
32.5004	3.73E-05
33.0004	3.98E-05
33.5004	3.74E-05
34.0004	4.19E-05
34.5004	3.91E-05
35.0003	3.85E-05
35.5003	4.04E-05
36.0003	3.82E-05
36.5003	3.89E-05
37.0003	3.87E-05
37.5003	3.66E-05
38.0003	3.80E-05
38.5003	3.70E-05
39.0003	4.02E-05
39.5003	3.89E-05
40.0003	3.62E-05
40.5003	3.52E-05
41.0003	3.76E-05
41.5003	3.89E-05
42.0003	3.58E-05
42.5003	3.50E-05
42.9985	3.76E-05
43.5003	3.87E-05
44.0003	3.90E-05
44.5003	4.19E-05
45.0003	4.22E-05
45.5003	3.87E-05
46.0003	4.06E-05
46.5003	4.10E-05
47.0003	4.17E-05
47.5003	4.46E-05
48.0002	4.76E-05
48.5002	4.57E-05
49.0002	4.56E-05
49.5002	4.98E-05
50.0002	5.08E-05
50.5002	5.40E-05
51.0002	5.66E-05
51.5002	6.16E-05
52.0002	6.43E-05
52.5002	6.80E-05
53.0002	8.18E-05
53.5002	9.67E-05
54.0002	0.000110806
54.5002	0.000115812
55.0002	0.000126333
55.5002	0.000133933
56.0002	0.000146479
56.5002	0.000155897
57.0002	0.000170947
57.5002	0.000179322
58.0002	0.000184984
58.5002	0.000194193
59.0002	0.000201018
59.5002	0.000214786
60.0002	0.000220568
60.499	0.000232817
61.0001	0.000248076
61.5001	0.000262501
62.0001	0.000274302
62.5001	0.000298025
63.0001	0.00032294
63.5001	0.000362517
64.0001	0.000410559
64.5001	0.000455024
65.0001	0.000496391
65.5001	0.000536088
66.0001	0.000553731
66.5001	0.000579122
67.0001	0.00060213
67.5001	0.000622395
68.0001	0.000639085
68.5001	0.000661258
69.0001	0.000663523
69.5001	0.000636701
70.0001	0.000607494
70.5001	0.00057042
71.0001	0.000546221
71.5001	0.000515465
72.0001	0.000517253
72.5001	0.000540856
73.0001	0.000559453
73.5	0.000598196
74	0.000642423
74.5	0.000694875
75	0.000753406
75.5	0.000820164
76	0.000902656
76.5	0.000995405
77	0.0010922
77.5	0.00121785
78	0.00137163
78.5	0.00157071
79	0.00180627
79.5	0.00209977
80	0.0025623
80	0.00280644
-70.4988	0.000318768
-69.9988	0.000308963
-69.4988	0.000299336
-68.9988	0.000284376
-68.4989	0.000269266
-67.9989	0.000254633
-67.4989	0.000236721
-66.9989	0.000217826
-66.4989	0.000201494
-65.9997	0.000185014
-65.4989	0.000174255
-64.9989	0.000171662
-64.4989	0.000161053
-63.9989	0.000153766
-63.4989	0.000150413
-62.9989	0.000140005
-62.4989	0.000135989
-61.9989	0.000132942
-61.4989	0.000128613
-60.9989	0.000124731
-60.4989	0.000123837
-59.9989	0.000114874
-59.4989	0.000116587
-58.9989	0.000111759
-58.4989	0.000108853
-57.9989	0.00010442
-57.4989	0.000101679
-56.9989	9.95E-05
-56.4989	9.81E-05
-55.9989	9.47E-05
-55.4989	9.40E-05
-54.9989	9.28E-05
-54.499	9.08E-05
-53.999	8.92E-05
-53.499	8.62E-05
-52.999	8.07E-05
-52.499	8.13E-05
-51.999	8.26E-05
-51.499	7.85E-05
-50.999	7.36E-05
-50.499	7.59E-05
-49.999	7.36E-05
-49.499	7.08E-05
-48.999	6.94E-05
-48.499	6.99E-05
-47.999	6.52E-05
-47.4992	6.68E-05
-46.999	6.67E-05
-46.499	6.81E-05
-45.999	6.83E-05
-45.499	6.66E-05
-44.999	6.95E-05
-44.499	6.92E-05
-43.999	6.88E-05
-43.499	6.85E-05
-42.9991	6.69E-05
-42.4991	6.81E-05
-41.9991	6.24E-05
-41.4991	6.90E-05
-40.9991	6.56E-05
-40.4991	6.51E-05
-39.9991	6.47E-05
-39.4991	6.46E-05
-38.9991	6.37E-05
-38.4991	6.57E-05
-37.9991	6.35E-05
-37.4991	6.60E-05
-36.9991	6.23E-05
-36.4991	6.18E-05
-35.9991	6.46E-05
-35.4991	6.59E-05
-34.9991	6.41E-05
-34.4991	6.18E-05
-33.9991	6.40E-05
-33.4991	6.46E-05
-32.9991	6.29E-05
-32.4991	6.32E-05
-31.9991	6.41E-05
-31.4991	6.30E-05
-30.9991	6.38E-05
-30.4991	6.45E-05
-29.9991	6.11E-05
-29.4992	6.42E-05
-28.9992	6.41E-05
-28.4992	6.50E-05
-27.9992	6.48E-05
-27.4992	6.15E-05
-26.9992	6.10E-05
-26.4992	6.19E-05
-25.9992	6.46E-05
-25.4992	6.55E-05
-24.9992	6.29E-05
-24.4992	6.41E-05
-23.9992	6.32E-05
-23.4992	5.91E-05
-22.9992	6.37E-05
-22.4992	6.51E-05
-21.9992	6.34E-05
-21.4992	6.46E-05
-20.9992	6.26E-05
-20.4992	6.06E-05
-19.9992	6.46E-05
-19.4992	6.45E-05
-18.9992	6.25E-05
-18.4992	6.29E-05
-17.9992	6.29E-05
-17.4992	6.16E-05
-16.9992	6.33E-05
-16.4993	6.23E-05
-15.9993	6.40E-05
-15.4993	6.46E-05
-14.9993	6.52E-05
-14.4993	6.31E-05
-13.9993	6.14E-05
-13.4993	6.23E-05
-12.9993	6.52E-05
-12.4993	6.34E-05
-11.9993	6.24E-05
-11.4993	6.42E-05
-10.9993	6.45E-05
-10.4993	6.28E-05
-9.99931	6.39E-05
-9.49931	6.54E-05
-8.99931	6.47E-05
-8.49931	6.54E-05
-7.99931	6.62E-05
-7.49932	6.31E-05
-6.99932	6.48E-05
-6.49934	6.44E-05
-5.99934	6.90E-05
-5.49934	6.46E-05
-4.99934	7.03E-05
-4.49934	6.59E-05
-3.99934	6.80E-05
-3.49935	6.96E-05
-2.99935	6.55E-05
-2.49935	7.05E-05
-1.99937	6.84E-05
-1.49937	6.95E-05
-0.999374	6.70E-05
-0.499374	7.08E-05
0.000617981	7.03E-05
0.500618	7.13E-05
1.00062	7.15E-05
1.50061	6.95E-05
2.0006	7.13E-05
2.5006	7.21E-05
3.0006	7.24E-05
3.5006	7.26E-05
4.00059	7.51E-05
4.50059	7.32E-05
5.00058	7.30E-05
5.50058	7.09E-05
6.00057	6.96E-05
6.50057	7.12E-05
7.00056	7.37E-05
7.50056	7.36E-05
8.00056	7.58E-05
8.50056	7.84E-05
9.00055	7.56E-05
9.50054	7.77E-05
10.0005	7.74E-05
10.5005	7.66E-05
11.0005	7.92E-05
11.5005	7.81E-05
12.0005	7.34E-05
12.5005	8.03E-05
13.0005	7.67E-05
13.5005	7.77E-05
14.0005	7.90E-05
14.5005	8.09E-05
15.0005	8.19E-05
15.5005	7.94E-05
16.0005	7.81E-05
16.5005	8.24E-05
17.0005	8.29E-05
17.5005	8.15E-05
18.0005	7.88E-05
18.5005	8.34E-05
19.0005	8.16E-05
19.5005	8.00E-05
20.0005	7.61E-05
20.5005	8.35E-05
21.0005	8.17E-05
21.5005	8.11E-05
22.0005	8.07E-05
22.5004	8.06E-05
23.0004	8.01E-05
23.5004	8.16E-05
24.0004	8.08E-05
24.5004	7.49E-05
25.0004	7.72E-05
25.5004	7.47E-05
26.0004	7.73E-05
26.5004	7.45E-05
27.0004	7.12E-05
27.5004	7.39E-05
28.0004	7.16E-05
28.5004	6.99E-05
29.0004	6.87E-05
29.5004	6.85E-05
30.0004	7.00E-05
30.5004	6.59E-05
31.0004	6.53E-05
31.5004	6.77E-05
32.0004	6.54E-05
32.5004	6.41E-05
33.0004	6.66E-05
33.5004	6.52E-05
34.0004	6.85E-05
34.5004	6.39E-05
35.0003	6.51E-05
35.5003	6.85E-05
36.0003	6.42E-05
36.5003	6.39E-05
37.0003	6.13E-05
37.5003	6.12E-05
38.0003	5.93E-05
38.4997	6.18E-05
39.0003	6.18E-05
39.5003	6.23E-05
40.0003	5.91E-05
40.5003	6.16E-05
41.0003	6.26E-05
41.5003	5.97E-05
42.0003	5.79E-05
42.5003	5.66E-05
43.0003	5.76E-05
43.5003	5.87E-05
44.0003	5.71E-05
44.5003	5.53E-05
45.0003	5.45E-05
45.5003	5.57E-05
46.0003	5.67E-05
46.5003	5.45E-05
47.0003	5.49E-05
47.5003	5.50E-05
48.0002	5.63E-05
48.5002	5.99E-05
49.0002	5.85E-05
49.5002	5.60E-05
50.0002	5.88E-05
50.5002	5.87E-05
51.0002	6.16E-05
51.5002	6.22E-05
52.0002	6.70E-05
52.5002	7.15E-05
53.0002	8.60E-05
53.5002	0.000102401
54.0002	0.00011009
54.5002	0.000115991
